time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_15:40:22.5449190,3,1778,139.27,15.0078,2.1025,28.56,250,0,340,0,65535,0,0,0,0,0,0,0,0,121.08,33.95,20.125,20.1484,69,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:22.8149538,3,1814,138.98,15.75,2.1846,28.59,250,0,34,0,65535,0,0,0,0,0,0,0,0,122.12,34.7,13.9375,17.0469,69,3,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:23.0822407,3,1827,138.89,16.6875,2.3281,28.65,250,0,115,0,65535,0,0,0,0,0,0,0,0,123.02,32.47,13.7734,19.2969,69,2,-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:23.3525165,3,1766,139.47,16.5078,2.332,28.69,250,0,264,0,65535,0,0,0,0,0,0,0,0,123.42,32.62,15.8359,20.9922,69,4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:23.6058397,3,1786,139.52,15.7734,2.2314,28.72,250,0,267,0,65535,0,0,0,0,0,0,0,0,123.61,33.36,15.7422,19.5,69,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:23.8900777,3,1782,139.47,15.1719,2.1582,28.72,250,0,323,0,65535,0,0,0,0,0,0,0,0,124.22,33.2,16.625,20.3281,69,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:24.1730804,3,1807,138.8,15.9219,2.2275,28.74,250,0,65,0,65535,0,0,0,0,0,0,0,0,125.23,35.16,15.8672,17.4141,69,1,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:24.4273999,3,1836,138.8,16.8359,2.2363,28.82,250,0,115,0,65535,0,0,0,0,0,0,0,0,125.97,31.16,13.75,20.3672,69,6,-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:24.7116366,3,1742,138.64,17.3672,2.4199,28.84,250,0,255,0,65535,0,0,0,0,0,0,0,0,126.59,33.05,15.8438,20.5234,69,7,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:24.9829134,3,1805,139.61,17.7578,2.4443,28.88,250,0,302,0,65535,0,0,0,0,0,0,0,0,127.25,32.12,14.125,20.7812,69,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:25.2681968,3,1811,138.98,17.0781,2.3857,28.95,250,0,16,0,65535,0,0,0,0,0,0,0,0,127.84,34.92,14.7422,16.1953,69,3,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:25.5374306,3,1810,138.69,17.1484,2.3584,28.99,250,0,103,0,65535,0,0,0,0,0,0,0,0,128.39,32.98,14.3438,20.0234,69,6,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:25.8062757,3,1818,138.8,16.5625,2.3096,29.06,250,0,147,0,65535,0,0,0,0,0,0,0,0,129.16,31.3,17.1562,20.8438,69,7,-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:26.0896094,3,1815,139.27,16.4609,2.2793,29.02,250,0,286,0,65535,0,0,0,0,0,0,0,0,130.05,31.03,13.8438,21.4062,69,6,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:26.3607962,3,1814,139.47,15.7266,2.1992,29.05,250,0,301,0,65535,0,0,0,0,0,0,0,0,130.67,31.36,13.7578,21.4844,69,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:26.6460664,3,1771,138.36,17.5625,2.3652,29.12,250,0,90,0,65535,0,0,0,0,0,0,0,0,131.47,32.38,15.875,20.5234,69,2,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:26.9163063,3,1806,138.89,17.9375,2.4893,29.18,250,0,157,0,65535,0,0,0,0,0,0,0,0,132.5,32.66,21.3516,20.8359,69,3,-157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
